ts,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.SP_Recycle_Flow_Rate,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.SP_Recycle_Pump_Stop_Level,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.FIT_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.LIT_30_01,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.UCR_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.SC_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.PSH_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.UA_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.YA_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.Sts_Auto,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.Power_Failure
2024-06-19 16:58:46,200.0,3.5,218.9924774169922,11.354535102844238,True,68.18060302734375,False,False,False,True,False
2024-06-19 16:58:49,200.0,3.5,217.11712646484375,10.984402656555176,True,68.48043823242188,False,False,False,True,False
2024-06-19 16:58:51,200.0,3.5,214.70428466796875,10.595940589904785,True,68.89872741699219,False,False,False,True,False
2024-06-19 16:58:54,200.0,3.5,211.70726013183594,10.459982872009277,True,69.44560241699219,False,False,False,True,False
2024-06-19 16:58:56,200.0,3.5,208.28695678710938,9.483429908752441,True,70.09085845947266,False,False,False,True,False
2024-06-19 16:58:58,200.0,3.5,203.97593688964844,9.425579071044922,True,70.92723846435547,False,False,False,True,False
2024-06-19 16:59:01,200.0,3.5,200.2769012451172,9.117149353027344,True,71.65203094482422,False,False,False,True,False
2024-06-19 16:59:04,200.0,3.5,195.9141387939453,8.664682388305664,True,72.52865600585938,False,False,False,True,False
2024-06-19 16:59:06,200.0,3.5,191.7988739013672,8.111166000366211,True,73.37387084960938,False,False,False,True,False
2024-06-19 16:59:08,200.0,3.5,188.22299194335938,7.724850654602051,True,74.12085723876953,False,False,False,True,False
2024-06-19 16:59:11,200.0,3.5,185.10467529296875,7.161701202392578,True,74.7974853515625,False,False,False,True,False
2024-06-19 16:59:13,200.0,3.5,182.79254150390625,6.965234279632568,True,75.3105239868164,False,False,False,True,False
2024-06-19 16:59:15,200.0,3.5,181.31228637695312,6.654819965362549,True,75.67890167236328,False,False,False,True,False
2024-06-19 16:59:18,200.0,3.5,179.9809112548828,6.369526386260986,True,76.02359008789062,False,False,False,True,False
2024-06-19 16:59:20,200.0,3.5,180.37716674804688,6.070573329925537,True,76.09033203125,False,False,False,True,False
2024-06-19 16:59:23,200.0,3.5,181.01287841796875,5.6066107749938965,True,75.98194122314453,False,False,False,True,False
2024-06-19 16:59:25,200.0,3.5,182.81771850585938,5.158081531524658,True,76.04523468017578,False,False,False,True,False
2024-06-19 16:59:28,200.0,3.5,185.12490844726562,4.661611080169678,True,75.77093505859375,False,False,False,True,False
2024-06-19 16:59:30,200.0,3.5,185.12490844726562,4.661611080169678,True,75.37244415283203,False,False,False,True,False
2024-06-19 16:59:33,200.0,3.5,191.9538116455078,3.7366745471954346,True,74.83442687988281,False,False,False,True,False
2024-06-19 16:59:35,200.0,3.5,191.9538116455078,3.7366745471954346,True,74.09274291992188,False,False,False,True,False
2024-06-19 16:59:38,200.0,3.5,195.6831817626953,3.4397401809692383,False,0.0,False,False,False,True,False
2024-06-19 16:59:40,200.0,3.5,204.45811462402344,3.0852670669555664,False,0.0,False,False,False,True,False
2024-06-19 16:59:43,200.0,3.5,208.20689392089844,2.678274393081665,False,0.0,False,False,False,True,False
2024-06-19 16:59:46,200.0,3.5,208.20689392089844,2.678274393081665,False,0.0,False,False,False,True,False
